municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Acrelândia,Acre,14657.0,880631.0,1811.613,8.090580052141378,1.6643747494694148
Assis Brasil,Acre,8573.0,880631.0,4979.073,1.7218064487104325,0.9735064970458682
Brasiléia,Acre,27841.0,880631.0,3928.174,7.087516998992407,3.161483072932931
Bujari,Acre,13766.0,880631.0,3034.869,4.535945373589437,1.5631972983008775
Capixaba,Acre,10922.0,880631.0,1705.824,6.402770743054383,1.240247050126557
Cruzeiro do Sul,Acre,98382.0,880631.0,8783.47,11.200812435176532,11.171762066063993
Epitaciolândia,Acre,19739.0,880631.0,1652.674,11.943674312054283,2.2414609524307
Feijó,Acre,37644.0,880631.0,27976.874,1.3455398912687673,4.274662145666006
Jordão,Acre,9787.0,880631.0,5357.227,1.826877972503312,1.1113621936997449
Manoel Urbano,Acre,12776.0,880631.0,10630.6,1.2018136323443644,1.450777908113614
Marechal Thaumaturgo,Acre,17951.0,880631.0,8190.953,2.191564278295822,2.0384247204561277
Mâncio Lima,Acre,20329.0,880631.0,5451.617,3.7289853634252,2.308458366784726
Plácido de Castro,Acre,17127.0,880631.0,1952.555,8.771583899045098,1.9448554502396576
Porto Acre,Acre,17455.0,880631.0,2604.417,6.7020757428629905,1.9821014704229127
Porto Walter,Acre,11275.0,880631.0,6446.385,1.7490422926958287,1.2803319437993894
Rio Branco,Acre,387852.0,880631.0,8835.154,43.8987254777902,44.04251042718233
Rodrigues Alves,Acre,15537.0,880631.0,3076.342,5.050478782918154,1.7643030963025375
Santa Rosa do Purus,Acre,7143.0,880631.0,6155.858,1.16035814991184,0.8111229334420433
Sena Madureira,Acre,43916.0,880631.0,23759.512,1.8483544611522325,4.986878726731173
Senador Guiomard,Acre,22352.0,880631.0,2320.169,9.633780987505652,2.538180009561326
Tarauacá,Acre,46517.0,880631.0,20169.485,2.3063057881745617,5.282235124586801
Xapuri,Acre,19090.0,880631.0,5350.586,3.5678335045918335,2.167763796641272
Anadia,Alagoas,14193.0,3220104.0,186.134,76.2515177237904,0.44076216171900034
Arapiraca,Alagoas,243661.0,3220104.0,345.655,704.9254314272903,7.566867405524791
Atalaia,Alagoas,38530.0,3220104.0,533.258,72.25395587126681,1.196545204751151
Barra de Santo Antônio,Alagoas,16735.0,3220104.0,131.364,127.39411101976188,0.5197037114329226
Barra de São Miguel,Alagoas,8118.0,3220104.0,74.247,109.33775102024325,0.25210365876381635
Batalha,Alagoas,17103.0,3220104.0,315.87,54.14569284832368,0.531131913751854
Belo Monte,Alagoas,5898.0,3220104.0,334.136,17.65149519955946,0.18316178607895894
Belém,Alagoas,4820.0,3220104.0,66.628,72.34195833583479,0.14968460645991558
Boca da Mata,Alagoas,21517.0,3220104.0,193.002,111.48589133791359,0.6682082317838182
Branquinha,Alagoas,9786.0,3220104.0,168.048,58.23336189660097,0.30390322797027675
Cacimbinhas,Alagoas,10701.0,3220104.0,281.692,37.98829927722477,0.3323184592795761
Cajueiro,Alagoas,16605.0,3220104.0,94.357,175.98058437635788,0.5156665747441698
Campestre,Alagoas,6807.0,3220104.0,65.91,103.27719617660446,0.2113906880026235
Campo Alegre,Alagoas,32714.0,3220104.0,312.726,104.60914666513177,1.015929920275867
Campo Grande,Alagoas,8293.0,3220104.0,170.144,48.74106639082189,0.25753826584482986
Canapi,Alagoas,15743.0,3220104.0,602.778,26.11740972630056,0.4888972530079774
Capela,Alagoas,15068.0,3220104.0,263.735,57.13310709613817,0.46793519712406806
Carneiros,Alagoas,9200.0,3220104.0,111.696,82.36642314854606,0.2857050579732828
